,Date,Days Feeling
0,2021-01-01,-0.9985525012016296
1,2021-01-02,0.9598755836486816
2,2021-01-03,0.9782943725585938
3,2021-01-04,-0.9993658661842346
4,2021-01-05,-0.9993366599082947
5,2021-01-06,-0.9936447143554688
6,2021-01-07,-0.9803800582885742
7,2021-01-08,-0.9984431862831116
8,2021-01-09,-0.995361864566803
9,2021-01-10,-0.9820745587348938
10,2021-01-11,-0.9989945292472839
11,2021-01-12,-0.6018059849739075
12,2021-01-13,-0.9963513612747192
13,2021-01-14,-0.9927270412445068
14,2021-01-15,0.997208297252655
15,2021-01-16,-0.9964300990104675
16,2021-01-17,0.8069525957107544
17,2021-01-18,-0.9980033040046692
18,2021-01-19,-0.9975898265838623
19,2021-01-20,-0.9847774505615234
20,2021-01-21,-0.9996238946914673
21,2021-01-22,-0.9996129870414734
22,2021-01-23,-0.9960822463035583
23,2021-01-24,-0.9987275004386902
24,2021-01-25,0.9721540212631226
25,2021-01-26,-0.9974478483200073
26,2021-01-27,-0.9928896427154541
27,2021-01-28,-0.9989033937454224
28,2021-01-29,0.748120903968811
29,2021-01-30,0.8669472932815552
30,2021-01-31,0.9571694135665894
31,2021-02-01,-0.909292995929718
32,2021-02-02,0.7877607345581055
33,2021-02-03,-0.9985802173614502
34,2021-02-04,-0.9542700052261353
35,2021-02-05,0.9947757720947266
36,2021-02-06,-0.9948740601539612
37,2021-02-07,-0.967651903629303
38,2021-02-08,0.7705451846122742
39,2021-02-09,-0.730487048625946
40,2021-02-10,-0.991642951965332
41,2021-02-11,0.999026894569397
42,2021-02-12,-0.9994651675224304
43,2021-02-13,-0.9955009818077087
44,2021-02-14,0.9991734623908997
45,2021-02-15,-0.993099570274353
46,2021-02-16,0.9784789681434631
47,2021-02-17,0.9798964262008667
48,2021-02-18,-0.9937963485717773
49,2021-02-19,-0.9794855117797852
50,2021-02-20,0.9984984397888184
51,2021-02-21,-0.997379720211029
52,2021-02-22,-0.9978140592575073
53,2021-02-23,-0.9991115927696228
54,2021-02-24,-0.9961546063423157
55,2021-02-25,-0.9997676014900208
56,2021-02-26,0.7219933271408081
57,2021-02-27,-0.9992520213127136
58,2021-02-28,0.5764021873474121
59,2021-03-01,-0.9946501851081848
60,2021-03-02,-0.9881108999252319
61,2021-03-03,-0.9544177651405334
62,2021-03-04,-0.9854594469070435
63,2021-03-05,-0.9963464140892029
64,2021-03-06,-0.9866662621498108
65,2021-03-07,0.9850746393203735
66,2021-03-08,0.9950705766677856
67,2021-03-09,0.8762028217315674
68,2021-03-10,-0.9997627139091492
69,2021-03-11,-0.9988773465156555
70,2021-03-12,-0.9977340698242188
71,2021-03-13,0.9639902114868164
72,2021-03-14,-0.9922345876693726
73,2021-03-15,-0.9996285438537598
74,2021-03-16,0.5162149667739868
75,2021-03-17,-0.9477398991584778
76,2021-03-18,-0.9994645714759827
77,2021-03-19,-0.9709105491638184
78,2021-03-20,0.7958327531814575
79,2021-03-21,0.9873407483100891
80,2021-03-22,-0.999629020690918
81,2021-03-23,-0.9750334024429321
82,2021-03-24,-0.9116438031196594
83,2021-03-25,-0.9943367838859558
84,2021-03-26,-0.9976358413696289
85,2021-03-27,-0.9979471564292908
86,2021-03-28,0.9925132393836975
87,2021-03-29,-0.999301552772522
88,2021-03-30,-0.9743742346763611
89,2021-03-31,-0.9817102551460266
90,2021-04-01,-0.9810121059417725
91,2021-04-02,-0.9781255125999451
92,2021-04-03,0.9971786737442017
93,2021-04-04,-0.9979737401008606
94,2021-04-05,0.8186749219894409
95,2021-04-06,-0.9950280785560608
96,2021-04-07,-0.996947705745697
97,2021-04-08,-0.9539634585380554
98,2021-04-09,0.5907344222068787
99,2021-04-10,-0.9891652464866638
100,2021-04-11,0.9972242116928101
101,2021-04-12,0.6675246953964233
102,2021-04-13,-0.9941776990890503
103,2021-04-14,-0.9952358603477478
104,2021-04-15,-0.9987836480140686
105,2021-04-16,0.8525404930114746
106,2021-04-17,0.9971001744270325
107,2021-04-18,-0.9994774460792542
108,2021-04-19,-0.9963665008544922
109,2021-04-20,0.9847315549850464
110,2021-04-21,0.8238154053688049
111,2021-04-22,-0.9972432851791382
112,2021-04-23,0.975769579410553
113,2021-04-24,-0.999765932559967
114,2021-04-25,0.997880220413208
115,2021-04-26,-0.7710132002830505
116,2021-04-27,0.9417980313301086
117,2021-04-28,-0.839528501033783
118,2021-04-29,-0.9913330674171448
119,2021-04-30,-0.9985122084617615
120,2021-05-01,-0.9578247666358948
121,2021-05-02,-0.997818112373352
122,2021-05-03,-0.9358290433883667
123,2021-05-04,0.994997501373291
124,2021-05-05,-0.9956908822059631
125,2021-05-06,-0.9983633160591125
126,2021-05-07,0.9727613925933838
127,2021-05-08,-0.9929353594779968
128,2021-05-09,-0.9967814683914185
129,2021-05-10,-0.998068630695343
130,2021-05-11,0.9978581070899963
131,2021-05-12,-0.9863386750221252
132,2021-05-13,-0.9994935989379883
133,2021-05-14,-0.9964912533760071
134,2021-05-15,0.9820950627326965
135,2021-05-16,-0.9996789693832397
136,2021-05-17,-0.9917844533920288
137,2021-05-18,0.5550380349159241
138,2021-05-19,-0.9993348717689514
139,2021-05-20,-0.987701952457428
140,2021-05-21,-0.9968639612197876
141,2021-05-22,0.9549849629402161
142,2021-05-23,-0.9994532465934753
143,2021-05-24,0.9989249110221863
144,2021-05-25,-0.9928497076034546
145,2021-05-26,0.5698505640029907
146,2021-05-27,-0.9802035093307495
147,2021-05-28,-0.995681643486023
148,2021-05-29,-0.9919167160987854
149,2021-05-30,-0.9937659502029419
