"","Date","Open","High","Low","Close","Volume","Adjusted","Ad_return"
"1",2014-09-17,359.546203613281,361.468505859375,351.586883544922,355.957366943359,16389166,355.957366943359,0
"2",2014-09-18,355.588409423828,355.505401611328,319.789459228516,328.539367675781,26691849,328.539367675781,-0.0770260761928294
"3",2014-09-19,328.278503417969,330.936706542969,298.921020507812,307.761138916016,29560103,307.761138916016,-0.0632442586919161
"4",2014-09-20,307.665252685547,329.978179931641,303.931243896484,318.758972167969,28736826,318.758972167969,0.0357349641045952
"5",2014-09-21,318.120513916016,321.504516601562,306.502197265625,310.632446289062,20702625,310.632446289062,-0.0254942655374858
"6",2014-09-22,310.849761962891,316.469116210938,309.1708984375,312.958770751953,18776342,312.958770751953,0.00748899379534174
"7",2014-09-23,312.912078857422,343.704376220703,307.343872070312,339.189758300781,35102351,339.189758300781,0.0838161125371317
"8",2014-09-24,339.158630371094,339.307556152344,327.882263183594,331.25,23972840,331.25,-0.0234080130855264
"9",2014-09-25,331.211639404297,331.444671630859,321.226959228516,322.676605224609,21022658,322.676605224609,-0.0258819464917452
"10",2014-09-26,322.562896728516,325.339477539062,314.102081298828,318.896850585938,16922252,318.896850585938,-0.0117137548166557
"11",2014-09-27,318.211639404297,320.630004882812,313.33544921875,315.029174804688,11850891,315.029174804688,-0.0121282972037622
"12",2014-09-28,314.990539550781,316.209594726562,295.214508056641,297.578704833984,18629822,297.578704833984,-0.0553931869374388
"13",2014-09-29,297.379089355469,303.267974853516,293.333312988281,295.899597167969,25610923,295.899597167969,-0.00564256661763607
"14",2014-09-30,296.389007568359,309.562133789062,294.327697753906,306.41748046875,27484400,306.41748046875,0.0355454465009317
"15",2014-10-01,306.799957275391,310.224304199219,301.894866943359,303.949768066406,20782347,303.949768066406,-0.00805343219508459
"16",2014-10-02,304.245300292969,304.692535400391,294.376831054688,296.054931640625,17189755,296.054931640625,-0.0259741485443621
"17",2014-10-03,296.140960693359,299.354064941406,285.944061279297,287.264862060547,24691330,287.264862060547,-0.0296906710229986
"18",2014-10-04,287.568511962891,291.240112304688,260.396301269531,262.777465820312,37743907,262.777465820312,-0.0852432701465352
"19",2014-10-05,262.817413330078,273.113067626953,231.159408569336,256.162078857422,66582558,256.162078857422,-0.0251748639946708
"20",2014-10-06,256.065368652344,274.569610595703,241.699951171875,261.076507568359,62494503,261.076507568359,0.0191848408353714
"21",2014-10-07,261.475921630859,268.816955566406,254.431564331055,265.508605957031,38856342,265.508605957031,0.0169762435921639
"22",2014-10-08,265.452545166016,278.107055664062,258.974182128906,277.032958984375,42964129,277.032958984375,0.0434048191613374
"23",2014-10-09,276.882263183594,301.691650390625,272.781280517578,287.716552734375,65926621,287.716552734375,0.0385643419077892
"24",2014-10-10,287.449371337891,295.281829833984,279.751922607422,286.363067626953,34583954,286.363067626953,-0.00470423093339167
"25",2014-10-11,286.204650878906,290.821319580078,281.919036865234,286.94677734375,10569618,286.94677734375,0.00203835544029474
"26",2014-10-12,287.189910888672,300.041931152344,282.071929931641,299.508666992188,13887808,299.508666992188,0.0437777687023433
"27",2014-10-13,299.011779785156,311.916778564453,290.882354736328,306.929260253906,27689780,306.929260253906,0.0247758882447042
