Date,neg,neu,pos,compound
2017-05-02,0.0,0.74543,0.11171,0.1996
2017-05-03,0.0,0.82362,0.05138,0.06825
2017-05-04,0.06314,0.69714,0.09686,-0.0297
2017-05-05,0.05918,0.78918,0.06064,0.00775
2017-05-06,0.064,0.78075,0.03025,-0.03984
2017-05-07,0.026,0.638,0.086,0.13355
2017-05-08,0.02044,0.81844,0.04989,0.03459
2017-05-09,0.04491,0.80218,0.06191,0.07515
2017-05-10,0.0485,0.7831,0.0683,0.03887
2017-05-11,0.0,0.84243,0.01471,0.01829
2017-05-12,0.06,0.74075,0.07425,0.05936
2017-05-13,0.02217,0.674,0.13717,0.1479
2017-05-14,0.04409,0.75736,0.10764,0.08105
2017-05-15,0.0,0.7905,0.04283,0.10615
2017-05-16,0.0983,0.792,0.0097,-0.15257
2017-05-17,0.017,0.69827,0.19382,0.2834
2017-05-18,0.0965,0.7262,0.0773,-0.02644
2017-05-19,0.0,0.76962,0.10538,0.12604
2017-05-20,0.03025,0.7695,0.07525,0.05844
2017-05-21,0.0,0.677,0.073,0.12765
2017-05-22,0.0,0.782,0.093,0.15979
2017-05-23,0.0204,0.8269,0.0527,0.02521
2017-05-24,0.01173,0.77782,0.11955,0.19841
2017-05-25,0.03409,0.74564,0.12936,0.17069
2017-05-26,0.0438,0.8562,0.0,-0.09665
2017-05-27,0.0828,0.6388,0.0784,-0.01912
2017-05-28,0.04867,0.754,0.03067,-0.01095
2017-05-29,0.02438,0.64037,0.08525,0.08125
2017-05-30,0.03657,0.82057,0.0,-0.01836
2017-05-31,0.06364,0.77991,0.06555,-0.03097
2017-06-01,0.0,0.80411,0.08478,0.10589
2017-06-02,0.0,0.82933,0.05956,0.1013
2017-06-03,0.0,0.82686,0.03029,0.06386
2017-06-04,0.0676,0.77293,0.0928,0.08375
2017-06-05,0.01467,0.82853,0.09013,0.11092
2017-06-06,0.08385,0.72646,0.11277,-0.0076
2017-06-07,0.11941,0.69118,0.13059,0.01075
2017-06-08,0.0,0.84813,0.0852,0.19408
2017-06-09,0.0292,0.86453,0.0396,-0.02119
2017-06-10,0.05627,0.7852,0.09187,0.08033
2017-06-11,0.05943,0.69143,0.10629,0.01406
2017-06-12,0.0,0.83565,0.10553,0.17231
2017-06-13,0.11811,0.80274,0.02653,-0.16835
2017-06-14,0.042,0.72333,0.168,0.15344
2017-06-15,0.0,0.90231,0.02077,0.0158
2017-06-16,0.02067,0.81827,0.0944,0.12495
2017-06-17,0.05123,0.61292,0.25892,0.26606
2017-06-18,0.09453,0.8388,0.0,-0.17624
2017-06-19,0.0,0.89158,0.05579,0.09159
2017-06-20,0.0,0.79938,0.12369,0.25669
2017-06-21,0.01133,0.9012,0.0208,0.03164
2017-06-22,0.0136,0.8014,0.135,0.1742
2017-06-23,0.06677,0.77185,0.08446,0.02326
2017-06-24,0.02709,0.82382,0.05818,0.08942
2017-06-25,0.0,0.88889,0.0,0.0
2017-06-26,0.19859,0.72188,0.02071,-0.321
2017-06-27,0.0,0.82185,0.10123,0.19029
2017-06-28,0.0,0.79114,0.066,0.0578
2017-06-29,0.08583,0.66633,0.08117,-0.0431
2017-06-30,0.10312,0.71988,0.052,-0.04906
2017-07-01,0.05267,0.78067,0.0,-0.09532
2017-07-02,0.0,0.71567,0.11767,0.19498
2017-07-03,0.0,0.731,0.069,0.10024
2017-07-04,0.0635,0.7978,0.0388,-0.02807
2017-07-05,0.07156,0.718,0.09922,0.05473
2017-07-06,0.0151,0.8175,0.0674,0.07432
2017-07-07,0.03417,0.74867,0.0505,0.04698
2017-07-08,0.15575,0.66112,0.05825,-0.16875
2017-07-09,0.0,0.77714,0.08,0.12777
2017-07-10,0.0452,0.7826,0.0722,0.06557
2017-07-11,0.02571,0.81843,0.013,-0.03126
2017-07-12,0.05367,0.79178,0.04344,0.03572
2017-07-13,0.01155,0.82845,0.06909,0.11054
2017-07-14,0.08071,0.70943,0.06686,0.0212
2017-07-15,0.10838,0.7535,0.01312,-0.18955
2017-07-16,0.0978,0.7551,0.0471,-0.0975
2017-07-17,0.05667,0.71911,0.11311,0.0905
2017-07-18,0.075,0.75957,0.02257,-0.09944
2017-07-19,0.04233,0.81511,0.03144,-0.02103
2017-07-20,0.0444,0.8142,0.0414,-0.01017
2017-07-21,0.021,0.76533,0.047,0.054
2017-07-22,0.0,0.0,0.0,0.0
2017-07-23,0.05217,0.7245,0.05667,0.00143
2017-07-24,0.0127,0.7996,0.0877,0.13162
2017-07-25,0.022,0.7508,0.1272,0.22595
2017-07-26,0.11644,0.72189,0.05067,-0.10677
2017-07-27,0.109,0.7464,0.0446,-0.11193
2017-07-28,0.0,0.73829,0.11886,0.2077
2017-07-29,0.03575,0.71425,0.0,-0.032
2017-07-30,0.02729,0.69671,0.13314,0.25667
2017-07-31,0.02667,0.733,0.12922,0.13356
2017-08-01,0.07309,0.81091,0.02509,-0.13575
2017-08-02,0.032,0.83844,0.01833,-0.03372
2017-08-03,0.1139,0.7188,0.0673,-0.0585
2017-08-04,0.0803,0.744,0.0756,0.01564
2017-08-05,0.0,0.78483,0.0485,0.12328
2017-08-06,0.0,0.85612,0.01888,0.06158
2017-08-07,0.023,0.77871,0.05543,0.07057
2017-08-08,0.07989,0.74389,0.06511,0.01727
2017-08-09,0.04189,0.784,0.063,0.04619
2017-08-10,0.05391,0.79891,0.05627,0.0324
2017-08-11,0.0,0.81617,0.01717,0.02133
2017-08-12,0.02857,0.77971,0.04886,0.02544
2017-08-13,0.01622,0.79956,0.07311,0.14514
2017-08-14,0.07409,0.74682,0.08818,0.04343
2017-08-15,0.0,0.834,0.07509,0.10409
2017-08-16,0.07818,0.73227,0.09855,0.04321
2017-08-17,0.0,0.6904,0.1096,0.16076
2017-08-18,0.02767,0.75058,0.13833,0.15012
2017-08-19,0.0975,0.7385,0.0641,-0.02168
2017-08-20,0.141,0.65571,0.06057,-0.13847
2017-08-21,0.0385,0.74183,0.053,-0.00278
2017-08-22,0.02889,0.77478,0.08522,0.09234
2017-08-23,0.0,0.788,0.112,0.19462
2017-08-24,0.023,0.79557,0.03857,0.00614
2017-08-25,0.01857,0.67357,0.165,0.25303
2017-08-26,0.03667,0.75583,0.04083,-0.01582
2017-08-27,0.03,0.76683,0.0365,0.02092
2017-08-28,0.05271,0.68114,0.12329,0.17459
2017-08-29,0.0452,0.7189,0.1359,0.12676
2017-08-30,0.0,0.755,0.10214,0.18077
2017-08-31,0.04945,0.74818,0.11136,0.11643
2017-09-01,0.0476,0.6646,0.0878,0.03808
2017-09-02,0.033,0.73671,0.08743,0.13036
2017-09-03,0.02043,0.69614,0.14057,0.23921
2017-09-04,0.08089,0.76378,0.04422,-0.05667
2017-09-05,0.0,0.8576,0.0424,0.07396
2017-09-06,0.0328,0.8331,0.0341,0.01034
2017-09-07,0.0,0.83673,0.07236,0.08598
2017-09-08,0.07722,0.72278,0.08889,-0.03006
2017-09-09,0.09488,0.72375,0.05638,0.00824
2017-09-10,0.0248,0.7416,0.0336,0.0256
2017-09-11,0.05129,0.765,0.04086,-0.06177
2017-09-12,0.033,0.82414,0.0,-0.06554
2017-09-13,0.09182,0.71818,0.09909,0.03741
2017-09-14,0.08662,0.66075,0.12762,0.00095
2017-09-15,0.02429,0.858,0.0701,0.09285
2017-09-16,0.02382,0.87045,0.01482,-0.01145
2017-09-17,0.09325,0.624,0.03275,-0.14695
2017-09-18,0.04667,0.82267,0.01956,-0.07887
2017-09-19,0.0288,0.7339,0.1373,0.16398
2017-09-20,0.063,0.80336,0.04273,-0.00372
2017-09-21,0.07962,0.67288,0.1225,0.07956
2017-09-22,0.02022,0.77622,0.09244,0.07698
2017-09-23,0.0,0.84475,0.03025,0.06174
2017-09-24,0.08283,0.78083,0.05292,-0.01378
2017-09-25,0.0,0.862,0.02689,0.05474
