DATAFLOW,LAST UPDATE,freq,crops,strucpro,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,BG,2020,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,BG,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,BG,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,BG,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,BG,2024,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2014,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2015,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2016,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2017,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2018,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2019,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CH,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2013,2.97,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2014,3.50,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2015,2.10,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2016,1.05,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2017,3.03,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2018,4.05,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2019,3.20,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2020,1.40,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2021,0.60,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CY,2022,2.76,p
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2013,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2014,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2015,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2016,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2017,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2018,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2019,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2020,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2021,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2022,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2023,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,CZ,2024,0.00,
ESTAT:TAG00122(1.0),13/03/24 23:00:00,A,O1100,PR_HU_EU,DE,2013,0.00,
